num,lon,lat
00,-43.625,-2.875
01,-43.625,-3.125
02,-43.875,-3.375
03,-43.125,-3.375
04,-43.125,-3.625
05,-42.875,-3.625
06,-44.375,-3.875
07,-44.125,-3.875
08,-43.875,-3.875
09,-43.375,-3.875
10,-43.125,-3.875
11,-42.875,-3.875
12,-44.625,-4.125
13,-44.375,-4.125
14,-44.125,-4.125
15,-42.875,-4.125
16,-43.125,-4.375
17,-42.875,-4.375
18,-42.625,-4.375
19,-42.875,-4.625
20,-45.375,-4.875
21,-42.875,-4.875
22,-42.625,-4.875
23,-45.375,-5.125
24,-44.625,-5.125
25,-44.375,-5.125
26,-42.875,-5.125
27,-42.625,-5.125
28,-48.125,-5.375
29,-46.875,-5.375
30,-45.875,-5.375
31,-45.375,-5.375
32,-44.375,-5.375
33,-43.875,-5.375
34,-47.875,-5.625
35,-46.875,-5.625
36,-46.625,-5.625
37,-46.125,-5.625
38,-45.625,-5.625
39,-43.625,-5.625
40,-43.375,-5.625
41,-47.875,-5.875
42,-46.125,-5.875
43,-45.875,-5.875
44,-44.625,-5.875
45,-46.125,-6.125
46,-46.125,-6.375
47,-44.625,-6.375
48,-44.125,-6.375
49,-46.125,-6.625
50,-45.875,-6.625
51,-45.625,-6.625
52,-44.625,-6.625
53,-44.375,-6.625
54,-44.125,-6.625
55,-43.875,-6.625
56,-48.375,-6.875
57,-46.125,-6.875
58,-45.875,-6.875
59,-45.625,-6.875
60,-45.375,-6.875
61,-45.125,-6.875
62,-44.625,-6.875
63,-44.375,-6.875
64,-44.125,-6.875
65,-43.625,-6.875
66,-48.375,-7.125
67,-46.375,-7.125
68,-46.125,-7.125
69,-45.875,-7.125
70,-45.125,-7.125
71,-44.875,-7.125
72,-44.625,-7.125
73,-44.375,-7.125
74,-43.625,-7.125
75,-47.375,-7.375
76,-46.625,-7.375
77,-46.375,-7.375
78,-46.125,-7.375
79,-45.875,-7.375
80,-45.625,-7.375
81,-45.375,-7.375
82,-45.125,-7.375
83,-44.875,-7.375
84,-44.625,-7.375
85,-44.375,-7.375
86,-44.125,-7.375
87,-48.625,-7.625
88,-47.375,-7.625
89,-46.625,-7.625
90,-46.375,-7.625
91,-46.125,-7.625
92,-45.875,-7.625
93,-45.625,-7.625
94,-45.375,-7.625
95,-45.125,-7.625
96,-44.875,-7.625
97,-44.375,-7.625
98,-44.125,-7.625
99,-48.625,-7.875
100,-48.375,-7.875
101,-47.125,-7.875
102,-46.875,-7.875
103,-46.625,-7.875
104,-46.375,-7.875
105,-46.125,-7.875
106,-45.875,-7.875
107,-45.625,-7.875
108,-45.375,-7.875
109,-45.125,-7.875
110,-44.875,-7.875
111,-44.375,-7.875
112,-44.125,-7.875
113,-46.875,-8.125
114,-46.625,-8.125
115,-46.375,-8.125
116,-46.125,-8.125
117,-45.875,-8.125
118,-45.625,-8.125
119,-45.375,-8.125
120,-45.125,-8.125
121,-44.875,-8.125
122,-44.625,-8.125
123,-44.375,-8.125
124,-44.125,-8.125
125,-46.875,-8.375
126,-46.625,-8.375
127,-46.375,-8.375
128,-46.125,-8.375
129,-45.875,-8.375
130,-45.625,-8.375
131,-45.375,-8.375
132,-45.125,-8.375
133,-44.625,-8.375
134,-44.375,-8.375
135,-49.375,-8.625
136,-46.875,-8.625
137,-46.625,-8.625
138,-46.375,-8.625
139,-46.125,-8.625
140,-45.875,-8.625
141,-45.125,-8.625
142,-44.875,-8.625
143,-44.625,-8.625
144,-48.125,-8.875
145,-47.125,-8.875
146,-46.875,-8.875
147,-46.625,-8.875
148,-46.375,-8.875
149,-46.125,-8.875
150,-45.625,-8.875
151,-45.375,-8.875
152,-44.875,-8.875
153,-48.375,-9.125
154,-48.125,-9.125
155,-47.875,-9.125
156,-46.875,-9.125
157,-46.625,-9.125
158,-46.375,-9.125
159,-46.125,-9.125
160,-45.625,-9.125
161,-45.375,-9.125
162,-45.125,-9.125
163,-44.875,-9.125
164,-49.625,-9.375
165,-48.875,-9.375
166,-48.125,-9.375
167,-47.875,-9.375
168,-46.875,-9.375
169,-46.125,-9.375
170,-45.625,-9.375
171,-45.375,-9.375
172,-45.125,-9.375
173,-44.875,-9.375
174,-44.625,-9.375
175,-50.125,-9.625
176,-48.625,-9.625
177,-45.375,-9.625
178,-49.875,-9.875
179,-49.125,-9.875
180,-48.875,-9.875
181,-48.625,-9.875
182,-47.875,-9.875
183,-51.125,-10.125
184,-49.875,-10.125
185,-48.625,-10.125
186,-47.875,-10.125
187,-45.875,-10.125
188,-45.625,-10.125
189,-51.125,-10.375
190,-50.875,-10.375
191,-50.625,-10.375
192,-49.875,-10.375
193,-49.625,-10.375
194,-48.875,-10.375
195,-48.625,-10.375
196,-47.875,-10.375
197,-45.875,-10.375
198,-45.625,-10.375
199,-49.875,-10.625
200,-49.625,-10.625
201,-48.375,-10.625
202,-48.125,-10.625
203,-46.125,-10.625
204,-45.875,-10.625
205,-45.625,-10.625
206,-45.375,-10.625
207,-49.875,-10.875
208,-49.625,-10.875
209,-48.625,-10.875
210,-48.375,-10.875
211,-46.375,-10.875
212,-46.125,-10.875
213,-45.875,-10.875
214,-45.625,-10.875
215,-45.375,-10.875
216,-49.625,-11.125
217,-49.375,-11.125
218,-49.125,-11.125
219,-48.875,-11.125
220,-48.625,-11.125
221,-48.375,-11.125
222,-48.125,-11.125
223,-46.625,-11.125
224,-46.375,-11.125
225,-46.125,-11.125
226,-45.875,-11.125
227,-45.625,-11.125
228,-51.375,-11.375
229,-50.125,-11.375
230,-49.875,-11.375
231,-49.625,-11.375
232,-48.875,-11.375
233,-48.625,-11.375
234,-48.125,-11.375
235,-47.875,-11.375
236,-47.125,-11.375
237,-46.625,-11.375
238,-46.375,-11.375
239,-46.125,-11.375
240,-45.875,-11.375
241,-45.625,-11.375
242,-45.375,-11.375
243,-45.125,-11.375
244,-58.625,-11.625
245,-51.375,-11.625
246,-48.875,-11.625
247,-48.625,-11.625
248,-47.125,-11.625
249,-46.625,-11.625
250,-46.375,-11.625
251,-46.125,-11.625
252,-45.875,-11.625
253,-45.625,-11.625
254,-45.375,-11.625
255,-45.125,-11.625
256,-51.625,-11.875
257,-51.375,-11.875
258,-51.125,-11.875
259,-49.875,-11.875
260,-49.625,-11.875
261,-49.125,-11.875
262,-48.875,-11.875
263,-46.375,-11.875
264,-46.125,-11.875
265,-45.875,-11.875
266,-45.625,-11.875
267,-45.375,-11.875
268,-56.125,-12.125
269,-51.625,-12.125
270,-51.375,-12.125
271,-49.625,-12.125
272,-49.375,-12.125
273,-49.125,-12.125
274,-48.875,-12.125
275,-48.625,-12.125
276,-46.375,-12.125
277,-46.125,-12.125
278,-45.875,-12.125
279,-45.625,-12.125
280,-45.375,-12.125
281,-44.125,-12.125
282,-58.375,-12.375
283,-58.125,-12.375
284,-56.125,-12.375
285,-55.875,-12.375
286,-55.625,-12.375
287,-51.625,-12.375
288,-51.375,-12.375
289,-49.375,-12.375
290,-49.125,-12.375
291,-48.875,-12.375
292,-48.625,-12.375
293,-46.375,-12.375
294,-46.125,-12.375
295,-45.875,-12.375
296,-45.625,-12.375
297,-45.375,-12.375
298,-45.125,-12.375
299,-44.375,-12.375
300,-58.875,-12.625
301,-58.625,-12.625
302,-58.375,-12.625
303,-58.125,-12.625
304,-56.375,-12.625
305,-56.125,-12.625
306,-55.875,-12.625
307,-55.625,-12.625
308,-51.625,-12.625
309,-51.375,-12.625
310,-49.375,-12.625
311,-49.125,-12.625
312,-46.375,-12.625
313,-46.125,-12.625
314,-45.875,-12.625
315,-45.625,-12.625
316,-45.375,-12.625
317,-44.875,-12.625
318,-44.625,-12.625
319,-44.375,-12.625
320,-44.125,-12.625
321,-58.875,-12.875
322,-58.625,-12.875
323,-58.375,-12.875
324,-58.125,-12.875
325,-56.375,-12.875
326,-56.125,-12.875
327,-55.875,-12.875
328,-55.625,-12.875
329,-54.875,-12.875
330,-49.125,-12.875
331,-48.875,-12.875
332,-48.375,-12.875
333,-46.375,-12.875
334,-46.125,-12.875
335,-45.875,-12.875
336,-45.625,-12.875
337,-45.375,-12.875
338,-45.125,-12.875
339,-44.875,-12.875
340,-44.625,-12.875
341,-44.375,-12.875
342,-59.125,-13.125
343,-58.875,-13.125
344,-58.625,-13.125
345,-58.125,-13.125
346,-57.875,-13.125
347,-57.625,-13.125
348,-56.375,-13.125
349,-56.125,-13.125
350,-55.875,-13.125
351,-55.625,-13.125
352,-55.375,-13.125
353,-55.125,-13.125
354,-54.625,-13.125
355,-49.625,-13.125
356,-49.125,-13.125
357,-48.875,-13.125
358,-48.625,-13.125
359,-48.375,-13.125
360,-46.375,-13.125
361,-46.125,-13.125
362,-45.875,-13.125
363,-45.625,-13.125
364,-45.375,-13.125
365,-45.125,-13.125
366,-59.375,-13.375
367,-59.125,-13.375
368,-58.875,-13.375
369,-58.625,-13.375
370,-58.375,-13.375
371,-58.125,-13.375
372,-57.875,-13.375
373,-57.625,-13.375
374,-57.375,-13.375
375,-56.625,-13.375
376,-56.375,-13.375
377,-56.125,-13.375
378,-55.875,-13.375
379,-55.625,-13.375
380,-55.375,-13.375
381,-55.125,-13.375
382,-54.625,-13.375
383,-53.125,-13.375
384,-52.875,-13.375
385,-52.625,-13.375
386,-50.375,-13.375
387,-50.125,-13.375
388,-49.875,-13.375
389,-49.375,-13.375
390,-49.125,-13.375
391,-48.875,-13.375
392,-48.375,-13.375
393,-48.125,-13.375
394,-46.375,-13.375
395,-46.125,-13.375
396,-45.875,-13.375
397,-45.625,-13.375
398,-45.375,-13.375
399,-45.125,-13.375
400,-59.375,-13.625
401,-59.125,-13.625
402,-58.875,-13.625
403,-58.625,-13.625
404,-58.375,-13.625
405,-58.125,-13.625
406,-57.875,-13.625
407,-57.625,-13.625
408,-56.875,-13.625
409,-56.625,-13.625
410,-56.375,-13.625
411,-56.125,-13.625
412,-55.875,-13.625
413,-55.625,-13.625
414,-55.375,-13.625
415,-55.125,-13.625
416,-54.875,-13.625
417,-54.625,-13.625
418,-54.125,-13.625
419,-53.875,-13.625
420,-53.625,-13.625
421,-53.375,-13.625
422,-53.125,-13.625
423,-52.875,-13.625
424,-52.625,-13.625
425,-52.375,-13.625
426,-52.125,-13.625
427,-51.875,-13.625
428,-51.625,-13.625
429,-50.625,-13.625
430,-50.375,-13.625
431,-50.125,-13.625
432,-49.875,-13.625
433,-49.625,-13.625
434,-49.375,-13.625
435,-49.125,-13.625
436,-48.875,-13.625
437,-46.125,-13.625
438,-45.875,-13.625
439,-45.625,-13.625
440,-45.375,-13.625
441,-59.625,-13.875
442,-59.375,-13.875
443,-59.125,-13.875
444,-58.875,-13.875
445,-58.625,-13.875
446,-58.125,-13.875
447,-57.875,-13.875
448,-57.625,-13.875
449,-57.375,-13.875
450,-57.125,-13.875
451,-56.875,-13.875
452,-56.625,-13.875
453,-56.375,-13.875
454,-56.125,-13.875
455,-55.875,-13.875
456,-55.625,-13.875
457,-55.375,-13.875
458,-55.125,-13.875
459,-54.875,-13.875
460,-54.625,-13.875
461,-53.625,-13.875
462,-53.375,-13.875
463,-53.125,-13.875
464,-52.875,-13.875
465,-52.625,-13.875
466,-52.375,-13.875
467,-52.125,-13.875
468,-51.875,-13.875
469,-51.625,-13.875
470,-50.625,-13.875
471,-50.375,-13.875
472,-50.125,-13.875
473,-49.875,-13.875
474,-49.625,-13.875
475,-49.375,-13.875
476,-49.125,-13.875
477,-48.625,-13.875
478,-46.375,-13.875
479,-46.125,-13.875
480,-45.875,-13.875
481,-45.375,-13.875
482,-59.375,-14.125
483,-59.125,-14.125
484,-58.875,-14.125
485,-58.125,-14.125
486,-57.875,-14.125
487,-57.625,-14.125
488,-56.625,-14.125
489,-56.375,-14.125
490,-56.125,-14.125
491,-55.875,-14.125
492,-55.625,-14.125
493,-55.375,-14.125
494,-55.125,-14.125
495,-54.875,-14.125
496,-54.375,-14.125
497,-54.125,-14.125
498,-53.875,-14.125
499,-53.625,-14.125
500,-52.625,-14.125
501,-52.375,-14.125
502,-52.125,-14.125
503,-51.875,-14.125
504,-50.875,-14.125
505,-50.625,-14.125
506,-50.375,-14.125
507,-50.125,-14.125
508,-49.625,-14.125
509,-49.375,-14.125
510,-49.125,-14.125
511,-48.875,-14.125
512,-48.625,-14.125
513,-48.375,-14.125
514,-47.875,-14.125
515,-47.375,-14.125
516,-46.125,-14.125
517,-45.875,-14.125
518,-45.625,-14.125
519,-45.375,-14.125
520,-59.375,-14.375
521,-59.125,-14.375
522,-58.375,-14.375
523,-58.125,-14.375
524,-56.625,-14.375
525,-56.375,-14.375
526,-56.125,-14.375
527,-55.875,-14.375
528,-54.875,-14.375
529,-54.375,-14.375
530,-54.125,-14.375
531,-53.875,-14.375
532,-53.625,-14.375
533,-53.125,-14.375
534,-52.875,-14.375
535,-52.375,-14.375
536,-51.125,-14.375
537,-50.875,-14.375
538,-50.625,-14.375
539,-50.375,-14.375
540,-49.125,-14.375
541,-48.875,-14.375
542,-48.625,-14.375
543,-48.375,-14.375
544,-47.625,-14.375
545,-47.375,-14.375
546,-45.875,-14.375
547,-45.625,-14.375
548,-58.875,-14.625
549,-58.625,-14.625
550,-58.375,-14.625
551,-56.625,-14.625
552,-56.375,-14.625
553,-56.125,-14.625
554,-55.875,-14.625
555,-55.625,-14.625
556,-55.125,-14.625
557,-54.875,-14.625
558,-54.125,-14.625
559,-53.625,-14.625
560,-53.375,-14.625
561,-53.125,-14.625
562,-52.875,-14.625
563,-52.625,-14.625
564,-52.375,-14.625
565,-52.125,-14.625
566,-51.875,-14.625
567,-51.125,-14.625
568,-50.875,-14.625
569,-50.625,-14.625
570,-49.375,-14.625
571,-49.125,-14.625
572,-48.875,-14.625
573,-48.625,-14.625
574,-48.375,-14.625
575,-48.125,-14.625
576,-47.875,-14.625
577,-47.625,-14.625
578,-47.375,-14.625
579,-46.625,-14.625
580,-46.375,-14.625
581,-45.875,-14.625
582,-45.125,-14.625
583,-54.625,-14.875
584,-54.375,-14.875
585,-54.125,-14.875
586,-53.875,-14.875
587,-53.625,-14.875
588,-53.375,-14.875
589,-53.125,-14.875
590,-52.875,-14.875
591,-52.625,-14.875
592,-52.375,-14.875
593,-52.125,-14.875
594,-51.875,-14.875
595,-51.375,-14.875
596,-51.125,-14.875
597,-50.875,-14.875
598,-50.625,-14.875
599,-49.625,-14.875
600,-49.375,-14.875
601,-49.125,-14.875
602,-48.875,-14.875
603,-48.375,-14.875
604,-47.875,-14.875
605,-47.625,-14.875
606,-47.375,-14.875
607,-47.125,-14.875
608,-46.875,-14.875
609,-46.625,-14.875
610,-46.375,-14.875
611,-44.625,-14.875
612,-56.875,-15.125
613,-55.125,-15.125
614,-54.875,-15.125
615,-54.625,-15.125
616,-54.375,-15.125
617,-54.125,-15.125
618,-53.875,-15.125
619,-53.625,-15.125
620,-53.375,-15.125
621,-52.875,-15.125
622,-52.625,-15.125
623,-52.375,-15.125
624,-52.125,-15.125
625,-51.875,-15.125
626,-51.625,-15.125
627,-51.375,-15.125
628,-51.125,-15.125
629,-50.875,-15.125
630,-50.625,-15.125
631,-50.125,-15.125
632,-49.625,-15.125
633,-49.375,-15.125
634,-49.125,-15.125
635,-48.875,-15.125
636,-48.625,-15.125
637,-48.375,-15.125
638,-48.125,-15.125
639,-47.875,-15.125
640,-47.625,-15.125
641,-47.375,-15.125
642,-47.125,-15.125
643,-46.875,-15.125
644,-46.625,-15.125
645,-46.375,-15.125
646,-45.625,-15.125
647,-45.375,-15.125
648,-55.625,-15.375
649,-55.375,-15.375
650,-55.125,-15.375
651,-54.875,-15.375
652,-54.625,-15.375
653,-54.375,-15.375
654,-54.125,-15.375
655,-53.875,-15.375
656,-53.625,-15.375
657,-53.375,-15.375
658,-53.125,-15.375
659,-52.375,-15.375
660,-52.125,-15.375
661,-51.875,-15.375
662,-51.625,-15.375
663,-51.375,-15.375
664,-51.125,-15.375
665,-50.875,-15.375
666,-50.625,-15.375
667,-49.875,-15.375
668,-49.625,-15.375
669,-49.375,-15.375
670,-49.125,-15.375
671,-48.875,-15.375
672,-48.625,-15.375
673,-48.375,-15.375
674,-47.875,-15.375
675,-47.625,-15.375
676,-47.375,-15.375
677,-47.125,-15.375
678,-46.875,-15.375
679,-46.625,-15.375
680,-46.375,-15.375
681,-45.875,-15.375
682,-45.625,-15.375
683,-57.375,-15.625
684,-56.875,-15.625
685,-55.625,-15.625
686,-55.375,-15.625
687,-55.125,-15.625
688,-54.875,-15.625
689,-54.625,-15.625
690,-54.375,-15.625
691,-54.125,-15.625
692,-53.875,-15.625
693,-53.625,-15.625
694,-53.375,-15.625
695,-52.375,-15.625
696,-52.125,-15.625
697,-51.875,-15.625
698,-51.625,-15.625
699,-51.375,-15.625
700,-51.125,-15.625
701,-50.875,-15.625
702,-50.625,-15.625
703,-49.875,-15.625
704,-49.625,-15.625
705,-49.375,-15.625
706,-49.125,-15.625
707,-48.875,-15.625
708,-48.625,-15.625
709,-48.375,-15.625
710,-48.125,-15.625
711,-47.875,-15.625
712,-47.625,-15.625
713,-47.375,-15.625
714,-47.125,-15.625
715,-46.875,-15.625
716,-46.625,-15.625
717,-46.375,-15.625
718,-46.125,-15.625
719,-45.125,-15.625
720,-44.875,-15.625
721,-57.375,-15.875
722,-56.875,-15.875
723,-56.625,-15.875
724,-55.375,-15.875
725,-55.125,-15.875
726,-54.875,-15.875
727,-53.875,-15.875
728,-53.625,-15.875
729,-53.375,-15.875
730,-52.375,-15.875
731,-52.125,-15.875
732,-51.875,-15.875
733,-51.625,-15.875
734,-51.375,-15.875
735,-51.125,-15.875
736,-50.875,-15.875
737,-50.625,-15.875
738,-50.375,-15.875
739,-50.125,-15.875
740,-49.875,-15.875
741,-49.625,-15.875
742,-49.375,-15.875
743,-49.125,-15.875
744,-48.875,-15.875
745,-48.625,-15.875
746,-48.125,-15.875
747,-47.875,-15.875
748,-47.625,-15.875
749,-47.375,-15.875
750,-47.125,-15.875
751,-46.875,-15.875
752,-46.625,-15.875
753,-46.375,-15.875
